citation,year,model_type,mutations,multiple_stimuli,electrophysiology_features,protocol_optimization,heldout_evaluation,ai_transformations,software_availability,distinction_from_neurosem,closeness_1to5,kind,doi,url,verification_method,found_via,evidence_file
"Daly AC, Clerx M, Beattie KA, et al. (2018). Reproducible model development in the cardiac electrophysiology Web Lab. Progress in Biophysics and Molecular Biology, 139:3-14.",2018,"cardiac cell and ion-channel ODE models (CellML), including hERG model fitting",no; no seeded faults; focus on fitting and comparison of competing models.,yes; Web Lab applies the same protocol collection to many models for side-by-side comparison.,"partial; protocol post-processing outputs (e.g. APD, currents) and fitting to data; not neuronal features.","partial; protocol design support is described as a planned WL2 capability, not a fault-detection battery optimiser.","no; models are characterised or compared, with no discovery/held-out split.",no; no AI-assisted or automated model transformations are studied.,Cardiac Electrophysiology Web Lab https://github.com/ModellingWebLab (BSD 3-clause per paper),"Infrastructure for sharing protocols and comparing model versions. NeuroSem adds mutant-based measurement of what batteries detect, calibrated tolerances, greedy selection, and held-out evaluation for neurons.",3,paper,10.1016/j.pbiomolbio.2018.05.011,https://doi.org/10.1016/j.pbiomolbio.2018.05.011,Crossref api.crossref.org/works/10.1016/j.pbiomolbio.2018.05.011; Europe PMC abstract (PMID 29842853); PMC6288479 full-text XML via Europe PMC; GitHub REST API for ModellingWebLab/WebLab.,WebSearch 'Web Lab functional curation cardiac electrophysiology ...' + Crossref title query; metadata verified via Crossref api.crossref.org/works,deepread_r1_b2.json
"Aitor Arrieta, Shuai Wang, Urtzi Markiegi, et al. (2019). Pareto efficient multi-objective black-box test case selection for simulation-based testing. Information and Software Technology, 114, 137-154.",2019,"Simulink simulation models of cyber-physical systems (six case studies, one industrial)","partial - Simulink mutants from previously published operators used only to measure fault revelation; undetected, duplicate and always-killed mutants filtered out.",yes - existing suites of 120-150 input-signal test cases per model form the pool that selection draws from.,"partial - black-box output measures (anti-patterns such as instability, discontinuity, growth; input/output similarity); not electrophysiological features.","yes - NSGA-II (plus NSGA-III, MOEA/D) selects test subsets trading six effectiveness measures against simulation-time cost; compared with random search and white-box coverage.","partial - selection objectives do not use mutants, so mutation score is an independent check; no held-out models or fault families.",no - no AI-generated or AI-assisted model changes.,"IST2019Paper replication material, https://github.com/aitorarrietamarcos/IST2019Paper (no license detected by GitHub API)","Anticipates the runtime-cost framing of test selection for expensive simulations, validated with mutants. NeuroSem differs by selecting directly on a discovery mutant-by-protocol detection matrix, using neuroscience stimulation protocols and eFEL features with calibrated tolerances, and testing generalisation to held-out models and a held-out mutation family.",3,paper,10.1016/j.infsof.2019.06.009,https://doi.org/10.1016/j.infsof.2019.06.009,"Crossref works API (authors, vol 114, pp 137-154); Semantic Scholar Graph API abstract; green open-access author manuscript PDF (ebiltegia.mondragon.edu) read with pypdf (sections 2, 4.2-4.3, Table 2); GitHub REST API for the repository.",OpenAlex search 'mutation analysis Simulink test selection'; verified via Crossref,deepread_r1_b6.json
"Gerkin RC, Birgiolas J, Jarvis RJ, et al. (2019). NeuronUnit: A package for data-driven validation of neuron models using SciUnit. bioRxiv (preprint).",2019,"single-neuron and ion-channel models, including NeuroML models run via jNeuroML or NEURON backends",no - no deliberate model perturbation to measure test sensitivity found in preprint or test source.,partial - square current injections incl. binary-search rheobase and standard vs strong-stimulus variants of Druckmann-style tests; not a designed battery.,"yes - about 50 test classes: rheobase, input resistance, resting potential, spike width, latencies, ISIs, accommodation, AHP depth.",no - optimisation (DEAP/BluePyOpt) fits model parameters to test suites; stimulation protocols are not selected or minimised.,no - no held-out or cross-validation methodology described.,no - not addressed.,"NeuronUnit https://github.com/scidash/neuronunit (PyPI neuronunit 0.1.8.2, license MIT per PyPI; GitHub API reports no detected license; last push 2021-07-18)","Closest feature-level tooling: many electrophysiology tests with rheobase-based stimuli on NeuroML models, scored against experimental data. NeuroSem would instead compare a model against its own reference, calibrate tolerances numerically, seed single-fault mutants, and select a compact battery evaluated on held-out models and mutation families.",3,preprint,10.1101/665331,https://doi.org/10.1101/665331,"Crossref api.crossref.org/works/10.1101/665331 (5 authors, posted 2019-06-09, bioRxiv/openRxiv, abstract); bioRxiv full-text page 10.1101/665331v1.full via WebFetch; GitHub REST API scidash/neuronunit and tests directory listing; neuronunit/tests/fi.py and druckmann2013.py source; PyPI JSON neuronunit.","WebSearch (Scholar fallback) 'NeuronUnit SciUnit data-driven validation neuron models paper'; metadata verified via Crossref api.crossref.org/works | WebSearch site:biorxiv.org (neuron model validation NeuroML testing); Europe PMC 'NeuronUnit', 'SciUnit', 'NeuroML AND SRC:PPR' | OpenAlex search 'SciUnit NeuronUnit'; WebSearch site:dl.acm.org and site:dblp.org SciUnit NeuronUnit; verified via Crossref | Europe PMC: 'NeuroML'; Europe PMC: 'SciUnit OR NeuronUnit'; Crossref: 'SciUnit test-driven framework validation' (+2 more); metadata confirmed via Crossref /works/<doi> [fallback source used because arXiv/OpenAlex were rate-limited] | GitHub search neuronunit / sciunit neuron; DOI via Crossref bibliographic query, verified via Crossref works API | Anchor located via OpenAlex search; citations via Semantic Scholar (8), OpenCitations (11), Europe PMC (2) | WebSearch NeuronUnit query; Europe PMC; Crossref; software https://github.com/scidash/neuronunit (PyPI neuronunit 0.1.8.2, MIT) | Crossref SciUnit/NeuronUnit queries; Europe PMC; verified via Crossref /works",deepread_r1_b0.json
"Matinnejad, R., Nejati, S., Briand, L. C., et al. (2019). Test Generation and Test Prioritization for Simulink Models with Dynamic Behavior. IEEE Transactions on Software Engineering, 45(9), 919-944.",2019,"Industrial Simulink models with dynamic (time-varying) behaviour from Delphi Automotive; cyber-physical systems, not neuroscience","yes - automated fault-seeding program applies mutation operators derived from Simulink fault patterns to model elements; 74 faulty models evaluated, plus three real faults reported.","yes - search generates test suites of input signals (sizes 3, 5, 10) per model output.","partial - feature-based output diversity over signal-shape features; generic signal features, not electrophysiology.",yes - diversity-driven search generation plus greedy budget-oriented test prioritization; compared with random and coverage-based generation and prioritization.,no - evaluated on seeded faulty versions of the subject models; no discovery/held-out model or fault-family split found in retrieved text.,no - no AI-assisted transformations studied.,SimCoTest - https://sites.google.com/site/simcotesttool/ ; paper resources https://github.com/shnejati/TSE-Master (both as cited in paper; not checked live),"Closest SE work combining stimulus generation, budgeted greedy ranking and seeded faults. Its ranking uses surrogate diversity/coverage rewards with manual oracles; NeuroSem selects by known mutant detection with tolerance-calibrated automatic oracles, for NeuroML neurons, validated on held-out models.",3,paper,10.1109/tse.2018.2811489,https://doi.org/10.1109/tse.2018.2811489,"Crossref API (title, 4 authors, TSE 45(9):919-944, issued 2019-09-01; OpenAlex lists publication year 2018, online-first); Semantic Scholar Graph API and OpenAlex abstract; open-access author version from ORBilu (orbilu.uni.lu/bitstream/10993/35029/1/paper.pdf) read for fault seeding, RQs, prioritization algorithm and tool references.",Crossref title query (after WebSearch on Matinnejad Simulink test generation); metadata verified via Crossref api.crossref.org/works | WebSearch site:dl.acm.org test selection simulation models cyber-physical Simulink mutation; verified via Crossref,deepread_r1_b3.json
"Sáray, S., Rössert, C. A., Appukuttan, S., et al. (2021). HippoUnit: A software tool for the automated testing and systematic comparison of detailed models of hippocampal neurons based on electrophysiological data. PLOS Computational Biology 17:e1008114.",2021,detailed multicompartmental rat hippocampal CA1 pyramidal cell (and interneuron) models in NEURON; validation against experimental data,no - compares independently published and BluePyOpt-optimized models against experimental data; no seeded single-fault edits of a reference model.,"yes - five tests: somatic current steps of several amplitudes, 1 s escalating steps for depolarization block, bAP, PSP attenuation, oblique synaptic integration.","yes - Somatic Features Test extracts eFEL spike-shape, timing, subthreshold and sag features; scores are deviations from experimental means.",no - protocols are fixed to mirror the source experiments (configurable via JSON); no selection of a compact or cost-bounded battery.,partial - optimized models are validated on eFEL features beyond those used for fitting; no held-out model or fault-family split for a detection method.,no - no AI-assisted or automated code transformations are studied.,HippoUnit https://github.com/KaliLab/hippounit (GitHub API license BSD-3-Clause; PyPI hippounit 1.4.1 declares MIT - conflict unresolved); demos https://github.com/KaliLab/HippoUnit_demo,"HippoUnit scores models against experimental data (biological validity). NeuroSem would compare a model with its own edited versions, using refinement-calibrated tolerances, seeded single-fault mutants, greedy protocol selection and held-out models/mutation family. HippoUnit's SciUnit capability/test pattern and eFEL use are reusable precedent, not a novelty claim for NeuroSem.",3,paper,10.1371/journal.pcbi.1008114,https://doi.org/10.1371/journal.pcbi.1008114,"Crossref /works/10.1371/journal.pcbi.1008114 (title, 13 authors, venue, 2021-01-29, vol 17, e1008114, abstract); Europe PMC search (PMID 33513130, PMC7875359) and fullTextXML methods sections; GitHub REST API repos/KaliLab/hippounit and /license; PyPI JSON hippounit; raw setup.py; Crossref for preprint 10.1101/2020.07.02.184333","WebSearch (Scholar fallback) 'HippoUnit validation framework ... eFEL'; metadata verified via Crossref api.crossref.org/works | PubMed E-utilities 'HippoUnit'; Europe PMC 'NeuronUnit'/'HippoUnit'; bioRxiv preprint 10.1101/2020.07.02.184333 via WebSearch site:biorxiv.org | OpenAlex search 'SciUnit NeuronUnit'; verified via Crossref | Europe PMC: 'SciUnit OR NeuronUnit'; Europe PMC: 'eFEL AND electrophysiology'; Europe PMC: 'BluePyOpt' (+3 more); metadata confirmed via Crossref /works/<doi> [fallback source used because arXiv/OpenAlex were rate-limited] | GitHub search hippounit (KaliLab/hippounit README DOI); verified via Crossref works API; PyPI hippounit 1.4.1 | Anchor located via OpenAlex search; forward citations via Europe PMC (20), Semantic Scholar (21) and OpenCitations (28) | WebSearch HippoUnit query; Europe PMC refined SciUnit query; Crossref | Europe PMC '(NeuronUnit OR SciUnit) AND validation'; verified via Crossref /works + Europe PMC abstract",deepread_r1_b1.json
"Appukuttan S, Davison AP (2022). Reproducing and quantitatively validating a biologically-constrained point-neuron model of CA1 pyramidal cells. Frontiers in Integrative Neuroscience, 16:1041423.",2022,Izhikevich-type point-neuron CA1 pyramidal models (original Brian; reimplemented in Brian2 and NEURON); not NeuroML,"no; compares independent reimplementations, not deliberately seeded single faults; initial-voltage changes explored only as side checks.","yes; ranges of depolarizing current steps for f-I profiles, hyperpolarizing steps, and an I-V curve test.","yes; features extracted with eFEL through the eFELunit SciUnit test suite, compared by RMSE.",no; tests reproduce original-study figures plus added characterisation tests; no protocol selection or minimisation.,"no; single model family, no discovery/held-out split.",no; manual reimplementation from the published article.,"eFELunit https://github.com/appukuttan-shailesh/eFELunit (PyPI eFELunit 2.0.3, MIT); code https://github.com/appukuttan-shailesh/Ferguson2014_Repro","Documents cross-simulator discrepancies with eFEL-based SciUnit tests. NeuroSem would add seeded single-fault mutants, refinement-calibrated tolerances, greedy battery selection, and held-out model and mutation-family evaluation.",3,paper,10.3389/fnint.2022.1041423,https://doi.org/10.3389/fnint.2022.1041423,Crossref api.crossref.org/works/10.3389/fnint.2022.1041423; Europe PMC abstract (PMID 36424953); PMC9679150 full-text XML via Europe PMC; PyPI JSON for efelunit; GitHub REST API for Ferguson2014_Repro.,"WebSearch 'reproducibility of published neuron models re-implementation different simulators discrepancies'; metadata verified via Crossref api.crossref.org/works | PubMed E-utilities 'NeuronUnit OR SciUnit' and 'test suite[tiab] AND neuron model'; Europe PMC 'SciUnit' | Europe PMC: '(NEURON OR NEST OR Brian2 OR Arbor) AND simulator AND comparison AND neuron'; Europe PMC: 'reproducibility AND ""neuron models"" AND (simulator OR NeuroML)'; Europe PMC: 'SciUnit OR NeuronUnit' (+1 more) [fallback source used because arXiv/OpenAlex were rate-limited] | Europe PMC citations of ModelDB 2004; Semantic Scholar citations of 'A Software Framework for Validating Neuroscience Models'; Europe PMC lens search | PubMed query 'NeuroML OR NeuronUnit OR SciUnit OR Open Source Brain [tiab]' | Europe PMC SciUnit/NeuronUnit and NEURON-NEST-Brian comparison queries; verified via Crossref + Europe PMC abstract",deepread_r1_b2.json
"Lei, C.L., Clerx, M., Gavaghan, D.J., et al. (2022). Model-driven optimal experimental design for calibrating cardiac electrophysiology models. bioRxiv (published 2023 in Computer Methods and Programs in Biomedicine, 240, 107690).",2022,cardiac ventricular action-potential ODE models (O'Hara 2011 plus other published AP models); voltage- and current-clamp,partial - samples and infers maximum-conductance scalings for sensitivity and identifiability; no recorded single-fault model edits or regression mutants.,yes - derives 12 optimised voltage-clamp and 6 current-clamp protocols and compares them with literature benchmark protocols.,"partial - mainly fits whole traces; also tests biomarker-based inference (e.g. APD, AP amplitude, resting potential) and shows noise-induced biomarker biases.","yes - optimises protocol design variables using local and global sensitivity based A-, D- and E*-optimal criteria with global optimisation.",partial - protocols designed on O'Hara or an averaged model are assessed on other AP models; no held-out fault family or frozen split.,no - no AI-assisted model or code transformations.,"action-potential-experimental-design, https://github.com/CardiacModelling/action-potential-experimental-design (BSD-3-Clause)","Optimises continuous protocol designs for parameter identifiability in cardiac models. NeuroSem instead selects a discrete protocol subset to detect behaviour-changing edits in NeuroML neuron models, scored by mutant detection coverage under calibrated tolerances against canonical and cost-matched random baselines.",3,preprint,10.1101/2022.11.01.514669,https://doi.org/10.1101/2022.11.01.514669,"Crossref /works for bioRxiv DOI (posted 2022-11-02, relation is-preprint-of 10.1016/j.cmpb.2023.107690) and for the journal DOI (vol 240, article 107690, Oct 2023); Europe PMC (PPR566325; PMID 37478675); methods read from bioRxiv full-text PDF; code repo confirmed via github.com redirect and gh api (created 2021-07-15, BSD-3-Clause).","Europe PMC: '""optimal experimental design"" AND (""ion channel"" OR ""neuron model"") AND protocol' [fallback source used because arXiv/OpenAlex were rate-limited] | WebSearch 'optimised current clamp protocol cardiac ... identifiability'; Europe PMC refined OED query; Crossref (journal and bioRxiv 10.1101/2022.11.01.514669)",deepread_r1_b7.json
"Srinivasan, M., Kanewala, U. (2022). Metamorphic relation prioritization for effective regression testing. Software Testing, Verification and Reliability, 32(3), e1807.",2022,"general software under test: BBMap read aligner, Weka IBk k-NN classifier, LingPipe bio-entity recognition (not neuron models)","yes: first-order mutants from muJava, PIT and Major mutation tools; mutants raising exceptions or not finishing were removed.","partial: several metamorphic relations, each with source and follow-up inputs, act as a multi-test battery; no physical stimulation protocols.","no: outputs are alignments, classifications and entity labels; no electrophysiology features.","yes: greedy fault-based and coverage-based ordering of metamorphic relations, compared with random ordering and an optimal ordering baseline.","partial: ordering derived on one mutation tool's mutants, evaluated on an independent mutant set from a different tool; no held-out subject programs.",no: faults are tool-generated code mutants; no AI-assisted edits or translations.,"none (uses third-party mutation tools muJava, PIT and Major; arXiv preprint https://arxiv.org/abs/2109.09798)","Generic analogue of NeuroSem's selection step (greedy fault-based test ordering, random baseline, independent mutant set). NeuroSem would add neuron-model mutation operators, current-clamp protocols, calibrated eFEL tolerances, cost-matched baselines and held-out models.",3,paper,10.1002/stvr.1807,https://doi.org/10.1002/stvr.1807,"Crossref works API (type journal-article, issued 2022-02-17, vol 32 issue 3, e1807); Semantic Scholar API (arXiv 2109.09798, DBLP journals/stvr/SrinivasanK22); arXiv PDF full text read (methods, subjects, mutant sets). Preprint dated 2021; journal year 2022 used.",Crossref: 'metamorphic testing scientific software' [fallback source used because arXiv/OpenAlex were rate-limited],deepread_r1_b29.json
"Andrew G. Clark, Michael Foster, Benedikt Prifling, et al. (2023). Testing Causality in Scientific Modelling Software. ACM Transactions on Software Engineering and Methodology, 33(1), 1-42.",2023,"scientific simulation models: Poisson line tessellation, Luo-Rudy 1991 cardiac action potential ODE model, Covasim agent-based epidemic model",no - no mutation analysis or seeded-fault evaluation found in accepted manuscript text; faults found were real (e.g. a reported Covasim issue).,"partial - tests effects of input interventions (e.g. six LR91 conductances) via metamorphic relations, not a current-clamp protocol battery.",partial - LR91 case study uses cardiac APD90 as output; no neural/eFEL features or multi-feature fingerprints.,no - reduces model executions by inferring outcomes from existing data via causal inference; no test or protocol subset selection.,no - three evaluative case studies replicating prior studies; no held-out models or fault families.,no - not addressed.,Causal Testing Framework (MIT licence) https://github.com/CITCOM-project/CausalTestingFramework,"Infers metamorphic outcomes from causal DAGs and reused data, including a cardiac AP model. NeuroSem instead uses mutants, stimulus batteries, calibrated tolerances and greedy selection with held-out evaluation.",3,paper,10.1145/3607184,https://doi.org/10.1145/3607184,"Crossref /works API (7 authors, TOSEM 33(1):1-42); OpenAlex W4384030289 (abstract); Semantic Scholar (arXiv 2209.00357, open PDF); accepted manuscript text read (White Rose eprints 200672); GitHub REST API for repo and licence.",WebSearch site:dl.acm.org test oracle numerical tolerance scientific simulation software floating-point regression; verified via Crossref,deepread_r1_b5.json
"Birgiolas, J., Haynes, V., Gleeson, P., et al. (2023). NeuroML-DB: Sharing and characterizing data-driven neuroscience models described in NeuroML. PLOS Computational Biology 19:e1010941.",2023,"database of 1,500+ NeuroML channel, cell and network models; cell models converted by jNeuroML to NEURON for simulation","no - characterizes existing published models; correctness of NeuroML-to-NEURON conversion is attributed to the OSB Model Validation framework, not mutation testing.","yes - Allen Cell Types protocols (square, long square, pink noise, ramp, short square, short square triple) plus rheobase-multiple steps and ramps.","yes - 38 Druckmann-style properties implemented as NeuronUnit tests, plus resting spike count, ramp first-spike time and frequency filtering.",partial - discusses that fixed 1.5x/3x rheobase stimuli poorly characterize some model clusters and suggests better protocols; no algorithmic selection.,no - database-scale PCA and nested clustering of model properties; no held-out detection evaluation.,no - no AI-assisted transformations.,NeuroML-DB https://neuroml-db.org (HTTP 200 on 2026-09-13); code https://github.com/scrook/neuroml-db (GitHub API license MIT); property tests built on NeuronUnit https://github.com/scidash/neuronunit,"Closest NeuroML-specific precedent for multi-protocol, rheobase-normalized feature fingerprints of models. It fingerprints different models for search and clustering (and imputes missing properties with min/max/mean). NeuroSem would compare a reference with edited versions, keep undefined features undefined, calibrate tolerances by refinement, seed mutants, select a compact battery and evaluate on held-out models and a mutation family.",3,paper,10.1371/journal.pcbi.1010941,https://doi.org/10.1371/journal.pcbi.1010941,"Crossref /works/10.1371/journal.pcbi.1010941 (title, 6 authors, venue, 2023-03-03, vol 19, e1010941, abstract); Europe PMC (PMID 36867658, PMC10016719) fullTextXML methods/results/discussion; GitHub REST API repos/scrook/neuroml-db; HTTP check of neuroml-db.org; Crossref for preprint 10.1101/2021.09.11.459920 (is-preprint-of this DOI)","Google Scholar '""NeuronUnit""' (bioRxiv version) + Crossref title query; metadata verified via Crossref api.crossref.org/works | PubMed 'NeuroML'; Europe PMC '""NeuroML-DB""'; bioRxiv preprint 10.1101/2021.09.11.459920 via WebSearch site:biorxiv.org | OpenAlex search 'NeuroML 2 language'; WebSearch site:dblp.org NeuroML (bioRxiv link); verified via Crossref | Europe PMC: 'NeuroML'; Europe PMC: '""Open Source Brain""'; Europe PMC: 'pyNeuroML' (+8 more) [fallback source used because arXiv/OpenAlex were rate-limited] | GitHub search NeuroML-DB (scrook/neuroml-db); DOI via Crossref bibliographic query, verified via Crossref works API | Anchor via OpenAlex search; citations via Europe PMC (10), Semantic Scholar (12), OpenCitations (20) | PubMed query 'NeuroML OR NeuronUnit OR SciUnit OR Open Source Brain [tiab]'; WebSearch 'NeuroML-DB electrophysiological characterization ...'; Crossref | Crossref 'NeuroML mutation testing' (bioRxiv version); Europe PMC; verified via Crossref + abstract",deepread_r1_b1.json
"Ling, X., Menzies, T. (2023). What Not to Test (For Cyber-Physical Systems). IEEE Transactions on Software Engineering 49(7), 3811-3826.",2023,Simulink cyber-physical simulation models (six case studies with mutants reused from Arrieta et al.),"yes - reuses generated Simulink mutants (arithmetic, logical, relational, connection operators) to judge whether selected tests distinguish mutants from the original.",yes - test cases are distinct input signals simulated on each model; selection chooses among many candidate test inputs.,"partial - no electrophysiology; uses signal-derived goals (output discontinuity, instability, growth to infinity, variance) as a domain feature analogue.",yes - DoLesS picks a minimal effective test subset via least-squares approximation over multiple goals; compares to NSGA-II-based prior selection.,no - evaluation repeats runs on the same case studies; no held-out models or held-out mutation families found in the arXiv text.,no - no AI or coding-agent edits; mutants are rule-based.,"DoLesS reproduction package, https://github.com/ai-se/DoLesS (GitHub API reports no license)","Closest structural analogue in CPS: mutation-guided minimal test selection over simulated signals. NeuroSem adds conductance neuron models, eFEL features, refinement-calibrated tolerances, admissibility classification, held-out models and mutation family, random cost-matched baselines.",3,paper,10.1109/tse.2023.3272309,https://dl.acm.org/doi/10.1109/TSE.2023.3272309,"Crossref works API (metadata); OpenAlex and Semantic Scholar API (abstract, arXiv 2112.01598 link); arXiv abs page and full-text PDF read; GitHub REST API for repository.",WebSearch site:dl.acm.org test selection simulation models cyber-physical Simulink mutation; verified via Crossref,deepread_r1_b26.json
"Liu, J., Xia, C. S., Wang, Y., et al. (2023). Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation. Advances in Neural Information Processing Systems 36, pp. 21558-21572.",2023,"LLM-synthesised general-purpose Python functions (HumanEval / MBPP benchmark tasks); general software, not scientific models",partial - mutants of ground-truth programs serve as a test-suite reduction requirement; inputs grown by type-aware mutation; no domain-specific single-fault families,yes - LLM-seeded plus type-aware-mutation input generation greatly expands test inputs per task (abstract reports 80x for HumanEval+),no - outputs compared by differential testing against ground-truth implementation; no physiological features or calibrated tolerances,"yes - greedy set cover selects a minimal test subset preserving branch coverage, killed mutants and empirical LLM-sample kills (HumanEval+-mini)",partial - reduction tool README mentions per-LLM cross-validation output; no held-out program or fault-family split verified in paper text read,"yes - measures how thin tests let wrong LLM-generated code pass; generation from specifications, not edits of existing code",EvalPlus - https://github.com/evalplus/evalplus (Apache-2.0 per GitHub API); reduction code in tools/tsr,"Closest structural analogue in this batch: test augmentation plus greedy mutant-kill set cover. NeuroSem transfers the idea to neuron models: current-clamp protocols as tests, eFEL features with refinement-calibrated tolerances as oracle, domain single-fault mutants of existing NeuroML models, count/runtime-matched random baselines, held-out models and mutation family. Greedy mutant-coverage selection itself is not novel.",3,paper,10.52202/075280-0943,https://doi.org/10.52202/075280-0943,"Crossref works API (title, 4 authors, NeurIPS 36, pages); DataCite for arXiv 10.48550/arxiv.2305.01210 abstract; arXiv abs page and arXiv HTML full text (sections 2.1-2.2, test-suite reduction); GitHub REST API via gh (repo licence) and README + tools/tsr/README.md",Crossref silent semantic errors LLM code query; verified via Crossref,deepread_r1_b42.json
